FFD-Lexico: 189 bins in 1 millisecond(s)
Bin_0: 1 0
Bin_1: 3 4
Bin_2: 2 5
Bin_3: 6 7
Bin_4: 8 9
Bin_5: 10 11
Bin_6: 12 13
Bin_7: 14 15
Bin_8: 16 17
Bin_9: 19 18
Bin_10: 21 20
Bin_11: 23 22
Bin_12: 24 25
Bin_13: 26 27
Bin_14: 28 29
Bin_15: 30 31
Bin_16: 32 33
Bin_17: 34 36
Bin_18: 35 41
Bin_19: 38 39
Bin_20: 37 40
Bin_21: 43 42
Bin_22: 44 45
Bin_23: 46 48
Bin_24: 47 49
Bin_25: 50 51
Bin_26: 52 54
Bin_27: 53 55
Bin_28: 56 58
Bin_29: 59 57
Bin_30: 60 61
Bin_31: 62 63
Bin_32: 64 65
Bin_33: 66 68
Bin_34: 67 69
Bin_35: 70 72
Bin_36: 71 73
Bin_37: 75 74
Bin_38: 76 77
Bin_39: 79 78
Bin_40: 80 81
Bin_41: 82 83
Bin_42: 85 84
Bin_43: 86 87
Bin_44: 88 89
Bin_45: 90 91
Bin_46: 92 94
Bin_47: 93 95
Bin_48: 96 100
Bin_49: 98 99
Bin_50: 97 101
Bin_51: 102 103
Bin_52: 104 105
Bin_53: 106 107
Bin_54: 109 108
Bin_55: 110 111
Bin_56: 112 113
Bin_57: 114 117
Bin_58: 118 116
Bin_59: 115 119
Bin_60: 120 121
Bin_61: 122 123
Bin_62: 124 125
Bin_63: 126 127
Bin_64: 128 129
Bin_65: 130 131
Bin_66: 132 134
Bin_67: 133 135
Bin_68: 136 137
Bin_69: 140 138 500
Bin_70: 139 142 466
Bin_71: 141 143 459
Bin_72: 144 145 449
Bin_73: 147 146 438
Bin_74: 148 149 417
Bin_75: 152 151 413
Bin_76: 150 155 403
Bin_77: 154 153 397
Bin_78: 156 157 384
Bin_79: 158 159 376
Bin_80: 160 164 348
Bin_81: 166 161 347
Bin_82: 162 163 345
Bin_83: 165 167 332
Bin_84: 169 168 321
Bin_85: 170 171 310
Bin_86: 173 174 302
Bin_87: 175 176 301
Bin_88: 172 177 300
Bin_89: 178 179 287
Bin_90: 181 180 274
Bin_91: 183 182 270
Bin_92: 184 186 262
Bin_93: 185 187 251
Bin_94: 188 191 234
Bin_95: 190 189 235
Bin_96: 192 193 229
Bin_97: 194 195 221
Bin_98: 196 197 218
Bin_99: 198 199 213
Bin_100: 200 201 210
Bin_101: 203 204 205
Bin_102: 202 206 207
Bin_103: 208 209 211
Bin_104: 212 214 217
Bin_105: 215 216 219
Bin_106: 223 222 220
Bin_107: 224 226 225
Bin_108: 228 227 230
Bin_109: 231 232 233
Bin_110: 237 236 238
Bin_111: 239 240 241
Bin_112: 243 242 245
Bin_113: 244 247 246
Bin_114: 248 249 250
Bin_115: 253 252 258
Bin_116: 257 254 256
Bin_117: 255 261 260
Bin_118: 259 263 264
Bin_119: 267 265 266
Bin_120: 268 269 271
Bin_121: 275 273 276
Bin_122: 272 277 280
Bin_123: 282 278 281
Bin_124: 279 284 283
Bin_125: 285 286 288
Bin_126: 289 290 292
Bin_127: 291 293 296
Bin_128: 294 295 298
Bin_129: 299 297 306
Bin_130: 308 305 304
Bin_131: 307 303 311
Bin_132: 312 309 316
Bin_133: 319 318 313
Bin_134: 315 314 317
Bin_135: 320 323 322
Bin_136: 326 328 324
Bin_137: 327 325 329
Bin_138: 331 330 335
Bin_139: 334 336 333
Bin_140: 341 339 338
Bin_141: 337 342 340
Bin_142: 346 343 344
Bin_143: 355 354 349
Bin_144: 352 353 351
Bin_145: 350 357 356
Bin_146: 359 358 361
Bin_147: 360 362 363
Bin_148: 367 370 365
Bin_149: 364 368 366
Bin_150: 369 373 372
Bin_151: 374 371 378
Bin_152: 377 375 379
Bin_153: 381 380 383
Bin_154: 382 387 385
Bin_155: 388 390 386
Bin_156: 389 394 392
Bin_157: 391 393 396
Bin_158: 395 400 398
Bin_159: 401 399 402
Bin_160: 405 404 407
Bin_161: 408 406 414
Bin_162: 410 412 415
Bin_163: 411 409 418
Bin_164: 420 419 416
Bin_165: 425 423 424
Bin_166: 426 422 427
Bin_167: 421 433 431
Bin_168: 432 428 434
Bin_169: 429 430 437
Bin_170: 436 440 435
Bin_171: 441 439 443
Bin_172: 444 442 447
Bin_173: 445 448 446
Bin_174: 450 452 451
Bin_175: 456 453 455
Bin_176: 454 458 457
Bin_177: 460 463 462
Bin_178: 461 467 470
Bin_179: 464 468 469
Bin_180: 465 472 474
Bin_181: 471 473 484
Bin_182: 476 483 478
Bin_183: 475 477 481
Bin_184: 482 479 480
Bin_185: 486 499 496 490
Bin_186: 489 497 495 487
Bin_187: 492 498 485 488
Bin_188: 491 494 493
